特征组合,特征维度,准确率,F1分数
仅边缘密度,1,0.8538205980066446,0.8571428571428571
仅HOG,26244,0.9136212624584718,0.9103448275862069
仅LBP,59,0.8571428571428571,0.8643533123028391
仅GLCM,48,0.9800664451827242,0.98
HOG+LBP,26303,0.9269102990033222,0.9256756756756757
HOG+LBP+GLCM,26351,0.9667774086378738,0.9666666666666667
全部特征,26352,0.9667774086378738,0.9666666666666667
